__quarterly__,ta,as,ag,l,ln,ct1,ct2,rwa,__eof__
,,,,,,,,,__eof__
2010Q1,1359138.843,36290.807,NaN,856262,97217.807,73195.245,23201.435,603932.625,__eof__
2010Q2,1470438.83,43102,NaN,895820,112999,88995,23929,612355,__eof__
2010Q3,1461342.86,41347,NaN,857610,111252,90258,22596,577094,__eof__
2010Q4,1252110,28232,NaN,705842,87995,105011,18578,482043,__eof__
2011Q1,1070662,22306,NaN,604529,74116,66174,14779,443542,__eof__
2011Q2,1080815,24506,NaN,585211,80287,68809,11631,425205,__eof__
2011Q3,1217450,25481,NaN,556434,84620,80283,12707,404058,__eof__
2011Q4,1200382,29142,NaN,548852,88483,82629,11753,389183,__eof__
2012Q1,1086463,36692,NaN,497348,91492,71796,11602,381078,__eof__
2012Q2,1100430,38833,NaN,504353,94512,73779,11550,377641,__eof__
2012Q3,1068250,38915,NaN,485734,97638,73719,11049,367323,__eof__
2012Q4,1007462,38486,NaN,465957,99303,74293,10747,346715,__eof__
2013Q1,915906,32650,NaN,426197,83404,62242,10422,320079,__eof__
2013Q2,904579,34082,NaN,414017,85198,61479,10105,304233,__eof__
2013Q3,850407,33540,NaN,400179,85293,61327,9866,288245,__eof__
2013Q4,797812.415,35851.0594011478,NaN,385009.340628796,86137,60164.158,9519.96,280351.825,__eof__
2014Q1,581755,29791,NaN,354295,85252,52822.3421882622,6570.5995772447,304484,__eof__
2014Q2,533331,27069,NaN,341456,78933,52866.6323842045,7208.0658107733,285789,__eof__
2014Q3,519729,25521,NaN,337486,75410,51405,5574,243547,__eof__
2014Q4,506276,24078,NaN,335109,69196,49381,5069,240104,__eof__
2015Q1,505222,21157,NaN,334217,69163.9283107318,56496.7842228862,4806.1653953627,246866.513037186,__eof__
2015Q2,485830,19025,NaN,324710,64791.5059889655,59601.9498197587,4760.71851095,237957.268458641,__eof__
2015Q3,473929,17354,NaN,319096,59257.7722518447,57505.515674516,4584.9383619102,230571.468931924,__eof__
2015Q4,464096,13955,NaN,310252,52475.2748786893,57967.9158282005,5102.0456404848,229403.752751969,__eof__
2016Q1,470151,20943,NaN,321447,48148.2435651195,55420.5314068378,4798.2771236401,242227.488049901,__eof__
2016Q2,461255.718196875,19314.5602043163,NaN,304309.731599606,45773.6886289313,55394.9085761393,4533.2209338302,236148.684223891,__eof__
2016Q3,453279.049720318,18481.9042914741,NaN,302143.745498454,44251.1834915256,54767.8953265427,4451.1029903133,231222.235405249,__eof__
2016Q4,439102.013396272,15098.1544764938,NaN,307873.903162743,38875.1608288706,57123.0681056679,4390.522772696,225254.956858543,__eof__
2017Q1,432323.91348225,14464.231354984,NaN,308801.419389537,36679.6224618298,56010.6952172099,4186.7497446553,223571.661194088,__eof__
2017Q2,420976.278682889,13559.0546335419,NaN,303999.9850951,36250.6173183374,55040.4036292822,4027.6376108275,217823.451182704,__eof__
2017Q3,416221.046739706,12978.6792308788,NaN,280134.85896959,34837.14889601,54286.9883884038,4307.7970763397,217837.201192525,__eof__
2017Q4,409435.227314995,11020.6690989202,NaN,276790.859170279,31717.251143131,50540.61166819,3893.3633172313,214839.45845078,__eof__
2018Q1,405377.511243411,11652.4742863888,NaN,289231.472166992,30712.6399004494,48557.8379308589,3539.3060765282,214663.219142565,__eof__
2018Q2,408872.804058066,9690.7598452235,NaN,305965.198223104,26245.2195075933,49960.3435545282,3470.5885657363,212265.838529105,__eof__
2018Q3,403369.879888556,8720.0190106832,NaN,300760.442930224,23403.31,49930.2806273389,3460.9892353964,208795.663792877,__eof__
2018Q4,455000.91040018,7194.5020516735,NaN,354148.716724943,19325.3804298317,59680.7860380333,5082.4208650252,255115.246104545,__eof__
2019Q1,492600.108894376,6870.5883604383,NaN,387281.552293577,18079.0810815643,61008.7516052556,5825.8670802054,271654.497186763,__eof__
2019Q2,509244.384486664,6198.7504439289,NaN,396981.195300787,16687.4335088676,61267.788786155,5167.8168912988,273488.435723072,__eof__
2019Q3,534542.028692047,5686.1598888875,NaN,400018.732180599,15253.6925181782,62950.6403670558,5251.4080741825,274302.20005981,__eof__
2019Q4,523284,5309,NaN,399841,13450,62359,4937,269460,__eof__
2020Q1,573106,5558,NaN,432135,13177,62663,4965,273976,__eof__
2020Q2,563029,8044,NaN,421071,14615,61957,4870,264976,__eof__
2020Q3,568339.875671375,7900.1775894314,NaN,426302.935006912,14783.893077996,61544.9756080817,5359.4458206922,259862.652960124,__eof__
2020Q4,603643.090666368,8041.2833587206,NaN,440240.074417736,14798.3521126407,62390.4229379237,5393.1525229125,266139.654456549,__eof__
2021Q1,639361.890667235,7601.6640583098,NaN,459543.006850216,14501.0768603602,63747.2126068513,5627.3410435602,271488.366307805,__eof__
2021Q2,655231.884765079,7101.859385244,NaN,481857.12431612,13491.3541576254,64073.3341507039,6288.8529182223,270650.872635169,__eof__
2021Q3,678806.619279801,6154.1292604792,1798.98644172,478995.068420851,11486.6572187532,64928.6879299704,6299.5097751015,277415.259359069,__eof__
2021Q4,638741.456980889,5812.0202953767,1837.56932271,443397.767631575,11005.7921335738,65085.3138785605,6180.0208191394,279108.012591124,__eof__
2022Q1,700643.252822987,5791.3664890669,1834.6101949297,476395.736929781,10451.9816910853,64230.1974098421,6212.967200269,285356.550101469,__eof__
